  Date,ZETA,Map,Start,First Pistol,First Rounds,First Half WR,Second Pistol,Second Rounds,Second Half WR,Atk_PP_Success,Def_PP_Success,Atk 2nd,Def 2nd,Outcome
2026/1/15,Secret,Abyss,Defence,1,10,0.83,0,5,0.41,42.86%,71.42%,LL,WW,Win
2026/1/15,FS,Breeze,Defence,1,7,0.58,0,6,0.5,71.42%,28.57%,LL,WW,Win
2026/1/15,Secret,Bind,Defence,0,3,0.25,0,2,0.17,,,LL,LL,Loss
2026/1/15,ex XERXIA,Split,Defence,1,5,0.42,1,5,0.42,71.42%,14.28%,WW,WW,Loss
2026/1/18,NOG,Split,Defence,1,10,0.83,1,8,0.67,77.78%,50.00%,WW,WW,Win
2026/1/18,VARREL,Bind,Defence,0,3,0.25,1,9,0.75,81.82%,0.00%,LL,WW,Loss
2026/1/19,ReliaNcE,Split,Defence,0,10,0.83,1,7,0.58,71.43%,60.00%,WW,LW,Win
2026/1/19,UR,Abyss,Defence,1,7,0.58,1,8,0.67,77.78%,44.44%,WW,WW,Win
2026/1/19,Elevate,Corrode,Attack,0,6,0.5,1,6,0.5,75.00%,45.45%,LL,WW,Win
2026/1/19,Blue Eyes White Dragon,Pearl,Defence,1,10,0.83,1,9,0.75,100.00%,77.78%,WW,WW,Win
2026/1/20,ECHO,Haven,Defence,1,10,0.83,1,11,0.92,91.67%,71.43%,WW,WW,Win
2026/1/20,Frozen 3,Abyss,Attack,1,9,0.75,0,8,0.67,100.00%,60.00%,WW,LL,Win
2026/1/23,ZETA,Haven,Attack,0,3,0.25,0,7,0.58,50.00%,50.00%,LL,LL,Loss
2026/1/23,Clutch Core Esports VCSA,Bind,Defence,1,11,0.92,1,11,0.92,100.00%,66.67%,WW,WW,Win
2026/1/23,RRQ,Corrode,Defence,0,3,0.25,1,7,0.58,70.00%,10.00%,WW,LL,Loss
2026/1/26,DLT,Pearl,Defence,0,6,0.5,1,7,0.58,77.78%,40.00%,WW,LL,Win
2026/1/26,ZETA,Breeze,Attack,0,5,0.42,1,10,0.83,62.50%,60.00%,LL,WW,Win
2026/1/26,TODAK,Split,Defence,1,9,0.75,1,9,0.75,81.82%,50.00%,WW,WW,Win
2026/1/27,PRX,Corrode,Attack,1,7,0.58,1,5,0.42,70.00%,30.00%,WW,WW,Win
2026/1/27,KRTA,Haven,Attack,1,8,0.67,1,4,0.33,72.73%,11.11%,WW,WL,Win
2026/1/27,GEN.G,Bind,Attack,0,3,0,1,9,0,60.00%,62.50%,LW,WW,Loss
2026/1/27,RRQ,Breeze,Defence,0,7,0,0,4,0,50.00%,44.44%,LL,LL,Loss
2026/1/27,FS,Split,Defence,1,6,0.5,0,1,0.08,33.33%,37.50%,LL,WL,Loss
2026/1/29,XIP,Abyss,Attack,0,5,0.42,6,1,0.5,62.50%,14.29%,LL,WW,Loss
2026/1/29,NAOS,Breeze,Attack,0,7,0.58,1,11,0.92,87.50%,85.71%,LL,WW,Win
2026/1/29,IS,Corrode,Attack,0,4,0.33,1,7,0.58,37.50%,0.00%,LL,WW,Loss
2026/1/29,RA,Bind,Defence,0,4,0.33,1,4,0.33,50.00%,12.50%,WW,LL,Loss
2026/2/1,VARREL,Bind,Attack,1,8,0.67,0,7,0.58,100.00%,16.67%,WW,LL,Win
2026/2/1,ODG,Pearl,Attack,0,10,0.83,1,9,0.75,90.91%,57.14%,LL,WW,Win
2026/2/2,Sharper Esport,Bind,Attack,1,8,0.67,1,7,0.58,80.00%,42.86%,WW,WW,Win
2026/2/2,ZETA,Split,Defence,0,5,0.42,0,7,0.58,77.78%,12.50%,LL,LL,Loss
2026/2/2,Vyres,Corrode,Defence,0,8,0.67,1,10,0.58,90.00%,60.00%,WW,LL,Win
2026/2/2,Kadiliman,Pearl,Defence,0,3,0.25,1,8,0.67,88.89%,20.00%,WW,LL,Loss
2026/3/10,VCK,Pearl,Defence,0,5,0.42,0,4,0.33,50.00%,36.36%,LL,LL,Loss
2026/3/10,RRQ,Breeze,Defence,1,7,0.58,0,7,0.58,37.50%,70.00%,LL,WW,Win
2026/3/10,UR,Split,Defence,0,7,0.58,0,8,0.67,88.89%,37.50%,LL,LL,Win
2026/3/10,Shadow,Haven,Attack,1,6,0.5,0,9,0.75,75.00%,62.50%,WW,LL,Win
2026/3/10,RIO,Bind,Defence,1,10,0.83,1,10,0.83,66.67%,100.00%,WW,WW,Win
2026/3/11,RRQ,Split,Defence,0,2,0.17,1,10,0.83,,,WW,LL,Win
2026/3/11,DFM,Fracture,Defence,0,8,0.67,0,5,0.42,71.43%,33.33%,LL,LL,Win
2026/3/11,UR,Bind,Defence,1,8,0.67,1,10,0.83,100.00%,55.56%,WW,WW,Win
2026/3/11,VARREL,Pearl,Defence,1,7,0.58,1,7,0.58,87.50%,37.50%,WW,WW,Win
2026/3/12,CGZ,Pearl,Defence,1,8,0.67,1,2,0.17,40.00%,42.86%,WL,WW,Loss
2026/3/12,Murash,Split,Defence,1,5,0.42,1,7,0.58,60.00%,25.00%,WW,WW,Win
2026/3/12,RRQ,Breeze,Attack,0,4,0.33,1,5,0.42,57.14%,30.00%,LL,WL,Loss
2026/3/12,ODG,Haven,Defence,0,9,0.75,0,9,0.75,80.00%,62.50%,WL,LL,Win
2026/3/12,MTV,Pearl,Attack,0,4,0.33,0,6,0.5,57.14%,33.33%,LL,LL,Loss
2026/3/13,DRX,Fracture,Attack,1,4,0.33,1,7,0.58,100.00%,44.44%,WL,WW,Loss
2026/3/13,Wolves,Bind,Defence,1,4,0.27,0,7,0.58,100.00%,27.27%,LL,WL,Win
2026/3/13,AE,Pearl,Defence,1,8,0.67,1,8,0.67,77.78%,50.00%,WW,WW,Loss
2026/3/14,KBG,Fracture,Defence,0,9,0.75,1,8,0.67,80.00%,50.00%,WW,LL,Win
2026/3/14,VCK,Pearl,Attack,0,5,0.42,1,4,0.33,50.00%,11.11%,WW,WW,Loss
