Column 1,Player,Rounds,Kills,Deaths,Assists,ACS,Agent,FK,Plants,Defuses,FD,FK+FD,FBSR,FKPR,KPR,Date,K+A PR,Atk_Entry,Multi_Kills,Anchor_Time,Result,,
Haven,splash,24,26,15,9,325,Jett,4,0,2,1,5,0.8,0.17,1.08,05/22/2026,1.46,,,,Win,,
Haven,Erv,24,18,16,9,232,Omen,6,0,0,2,8,0.75,0.25,0.75,05/22/2026,1.13,,,,Win,,
Haven,scales,24,20,14,1,216,Cypher,3,1,0,1,4,0.75,0.13,0.83,05/22/2026,0.88,,,,Win,,
Haven,xihe,24,17,11,17,187,Breach,1,5,1,0,1,1,0.04,0.71,05/22/2026,1.42,,,,Win,,
Haven,slowly,24,16,12,9,181,Sova,0,3,0,0,0,0,0,0.67,05/22/2026,1.04,,,,Win,,
Breeze,scales,24,23,19,6,296,Viper,4,0,1,2,6,0.67,0.17,0.96,05/22/2026,1.21,,,,Loss,,
Breeze,Erv,24,21,21,6,244,Astra,1,1,2,1,2,0.5,0.04,0.88,05/22/2026,1.13,,,,Loss,,
Breeze,slowly,24,18,20,4,219,Sova,3,1,1,4,7,0.43,0.13,0.75,05/22/2026,0.92,,,,Loss,,
Breeze,splash,24,16,21,1,188,Jett,4,1,0,6,10,0.4,0.17,0.67,05/22/2026,0.71,,,,Loss,,
Breeze,xihe,24,12,20,14,162,Kayo,1,7,5,2,3,0.33,0.04,0.5,05/22/2026,1.08,,,,Loss,,
Fracture,scales,24,26,15,5,298,Cypher,2,0,1,1,3,0.67,0.08,1.08,05/22/2026,1.29,,,,Win,,
Fracture,splash,24,21,18,4,247,Jett,5,0,1,4,9,0.56,0.21,0.88,05/22/2026,1.04,,,,Win,,
Fracture,Erv,24,17,16,14,208,Brimstone,1,5,0,2,3,0.33,0.04,0.71,05/22/2026,1.29,,,,Win,,
Fracture,slowly,24,15,19,3,199,Tejo,4,1,0,3,7,0.57,0.17,0.63,05/22/2026,0.75,,,,Win,,
Fracture,xihe,24,8,18,13,100,Breach,1,3,0,1,2,0.5,0.04,0.33,05/22/2026,0.88,,,,Win,,
Split,Erv,24,17,21,2,216,Raze,3,0,0,1,4,0.75,0.13,0.71,05/22/2026,0.79,,,,Loss,,
Split,splash,24,18,18,1,214,Jett,1,1,1,0,1,1,0.04,0.75,05/22/2026,0.79,,,,Loss,,
Split,xihe,24,18,18,7,203,Omen,1,2,0,0,1,1,0.04,0.75,05/22/2026,1.04,,,,Loss,,
Split,slowly,24,15,19,4,183,Skye,2,3,1,1,3,0.67,0.08,0.63,05/22/2026,0.79,,,,Loss,,
Split,scales,24,15,17,2,168,Viper,0,0,0,1,1,0,0,0.63,05/22/2026,0.71,,,,Loss,,
Ascent,splash,24,22,19,6,264,Jett,6,1,0,3,9,0.67,0.25,0.92,05/22/2026,1.17,,,,Draw,,
Ascent,slowly,24,19,18,0,206,Sova,0,2,1,1,1,0,0,0.79,05/22/2026,0.79,,,,Draw,,
Ascent,xihe,24,16,19,2,178,Kayo,2,1,1,2,4,0.5,0.08,0.67,05/22/2026,0.75,,,,Draw,,
Ascent,scales,24,14,18,0,162,Cypher,0,0,0,2,2,0,0,0.58,05/22/2026,0.58,,,,Draw,,
Ascent,Erv,24,12,19,0,158,Omen,0,0,1,3,3,0,0,0.5,05/22/2026,0.5,,,,Draw,,
Breeze,Erv,24,20,18,7,239,Astra,3,0,0,1,4,0.75,0.13,0.83,05/22/2026,1.13,,,,Loss,,
Breeze,scales,24,20,18,9,234,Viper,1,1,3,0,1,1,0.04,0.83,05/22/2026,1.21,,,,Loss,,
Breeze,splash,24,16,21,4,196,Jett,7,0,0,4,11,0.64,0.29,0.67,05/22/2026,0.83,,,,Loss,,
Breeze,slowly,24,16,15,2,177,Sova,0,2,1,2,2,0,0,0.67,05/22/2026,0.75,,,,Loss,,
Breeze,xihe,24,14,18,4,147,kayo,1,2,2,1,2,0.5,0.04,0.58,05/22/2026,0.75,,,,Loss,,
Pearl,splash,24,22,21,4,257,Jett,6,0,0,3,9,0.67,0.25,0.92,05/25/2026,1.08,,,,Loss,,
Pearl,slowly,24,21,16,6,229,Skye,1,3,0,2,3,0.33,0.04,0.88,05/25/2026,1.13,,,,Loss,,
Pearl,scales,24,17,18,5,193,Cypher,2,0,0,1,3,0.67,0.08,0.71,05/25/2026,0.92,,,,Loss,,
Pearl,Erv,24,13,16,9,161,Astra,1,2,1,0,1,1,0.04,0.54,05/25/2026,0.92,,,,Loss,,
Pearl,xihe,24,8,17,9,137,Tejo,1,3,2,2,3,0.33,0.04,0.33,05/25/2026,0.71,,,,Loss,,
Ascent,scales,24,29,15,11,344,Cypher,3,1,0,2,5,0.6,0.13,1.21,05/25/2026,1.67,,,,Win,,
Ascent,slowly,24,22,18,9,268,Sova,3,3,0,2,5,0.6,0.13,0.92,05/25/2026,1.29,,,,Win,,
Ascent,splash,24,20,18,7,258,Jett,6,0,0,4,10,0.6,0.25,0.83,05/25/2026,1.13,,,,Win,,
Ascent,Erv,24,12,13,10,128,Omen,0,1,0,1,1,0,0,0.5,05/25/2026,0.92,,,,Win,,
Ascent,xihe,24,11,14,9,102,Kayo,1,2,0,0,1,1,0.04,0.46,05/25/2026,0.83,,,,Win,,
Lotus,Erv,24,26,14,8,307,Waylay,6,2,0,3,9,0.67,0.25,1.08,05/25/2026,1.42,,,,Win,,
Lotus,slowly,24,26,10,5,280,Fade,0,3,0,1,1,0,0,1.08,05/25/2026,1.29,,,,Win,,
Lotus,splash,24,24,13,9,270,Raze,7,2,2,4,11,0.64,0.29,1,05/25/2026,1.38,,,,Win,,
Lotus,xihe,24,17,15,10,188,Omen,2,3,0,1,3,0.67,0.08,0.71,05/25/2026,1.13,,,,Win,,
Lotus,scales,24,12,14,7,149,Cypher,2,0,0,1,3,0.67,0.08,0.5,05/25/2026,0.79,,,,Win,,
Haven,splash,24,28,17,2,300,Jett,5,2,0,3,8,0.63,0.21,1.17,05/25/2026,1.25,,,,Draw,,
Haven,scales,24,21,19,4,250,Cypher,3,0,1,2,5,0.6,0.13,0.88,05/25/2026,1.04,,,,Draw,,
Haven,slowly,24,16,15,9,212,Sova,1,2,2,1,2,0.5,0.04,0.67,05/25/2026,1.04,,,,Draw,,
Haven,Erv,24,12,18,8,152,Omen,0,1,0,2,2,0,0,0.5,05/25/2026,0.83,,,,Draw,,
Haven,xihe,24,8,17,8,89,Breach,3,2,1,2,5,0.6,0.13,0.33,05/25/2026,0.67,,,,Draw,,
Lotus,Erv,24,16,19,3,210,Raze,4,0,0,1,5,0.8,0.17,0.67,05/25/2026,0.79,,,,Win,,
Lotus,xihe,24,17,17,6,207,Omen,3,1,1,2,5,0.6,0.13,0.71,05/25/2026,0.96,,,,Win,,
Lotus,slowly,24,15,14,5,187,Fade,1,8,0,0,1,1,0.04,0.63,05/25/2026,0.83,,,,Win,,
Lotus,scales,24,16,13,8,184,Cypher,0,0,1,1,1,0,0,0.67,05/25/2026,1,,,,Win,,
Lotus,splash,24,16,15,6,180,Waylay,3,0,0,5,8,0.38,0.13,0.67,05/25/2026,0.92,,,,Win,,
Lotus,splash,24,21,22,4,258,Waylay,4,1,0,4,8,0.5,0.17,0.88,05/26/2026,1.04,,,,Loss,,
Lotus,scales,24,18,19,2,203,Cypher,1,1,0,2,3,0.33,0.04,0.75,05/26/2026,0.83,,,,Loss,,
Lotus,slowly,24,17,18,8,193,Fade,1,2,2,1,2,0.5,0.04,0.71,05/26/2026,1.04,,,,Loss,,
Lotus,Erv,24,15,19,4,191,Raze,1,1,0,5,6,0.17,0.04,0.63,05/26/2026,0.79,,,,Loss,,
Lotus,xihe,24,12,19,11,147,Omen,0,1,1,2,2,0,0,0.5,05/26/2026,0.96,,,,Loss,,
Lotus,splash,24,24,14,2,268,Raze,3,1,1,2,5,0.6,0.13,1,06/01/2026,1.08,,,,Win,,
Lotus,scales,24,23,10,8,259,Cypher,2,1,1,1,3,0.67,0.08,0.96,06/01/2026,1.29,,,,Win,,
Lotus,Chaos,24,23,17,3,256,Waylay,6,1,0,4,10,0.6,0.25,0.96,06/01/2026,1.08,,,,Win,,
Lotus,slowly,24,22,11,8,224,Fade,2,6,0,1,3,0.67,0.08,0.92,06/01/2026,1.25,,,,Win,,
Lotus,Erv,24,18,8,17,212,Omen,0,0,1,0,0,0,0,0.75,06/01/2026,1.46,,,,Win,,
Pearl,splash,24,26,16,8,318,Phoenix,8,0,0,2,10,0.8,0.33,1.08,06/01/2026,1.42,,,,Win,,
Pearl,scales,24,21,13,5,242,Cypher,3,1,0,0,3,1,0.13,0.88,06/01/2026,1.08,,,,Win,,
Pearl,Erv,24,17,13,11,191,Erv,0,2,1,0,0,0,0,0.71,06/01/2026,1.17,,,,Win,,
Pearl,slowly,24,14,17,8,173,Fade,0,7,0,1,1,0,0,0.58,06/01/2026,0.92,,,,Win,,
Pearl,Chaos,24,11,18,2,132,Jett,3,0,0,2,5,0.6,0.13,0.46,06/01/2026,0.54,,,,Win,,
Fracture,scales,24,20,18,6,249,Raze,1,1,0,1,2,0.5,0.04,0.83,06/01/2026,1.08,,,,Loss,,
Fracture,splash,24,17,20,2,215,Chamber,4,0,0,0,4,1,0.17,0.71,06/01/2026,0.79,,,,Loss,,
Fracture,Erv,24,13,17,10,196,Brimstone,0,1,0,2,2,0,0,0.54,06/01/2026,0.96,,,,Loss,,
Fracture,slowly,24,11,18,3,130,Skye,2,4,1,3,5,0.4,0.08,0.46,06/01/2026,0.58,,,,Loss,,
Fracture,Chaos,24,10,20,4,127,Jett,1,0,0,2,3,0.33,0.04,0.42,06/01/2026,0.58,,,,Loss,,
Split,slowly,24,20,16,11,252,Skye,4,2,0,2,6,0.67,0.17,0.83,06/02/2026,1.29,,,,Win,,
Split,splash,24,20,18,4,238,Jett,8,0,0,3,11,0.73,0.33,0.83,06/02/2026,1,,,,Win,,
Split,Chaos,24,19,15,3,233,Raze,1,0,0,3,4,0.25,0.04,0.79,06/02/2026,0.92,,,,Win,,
Split,scales,24,18,14,7,200,Viper,1,1,1,1,2,0.5,0.04,0.75,06/02/2026,1.04,,,,Win,,
Split,Erv,24,17,11,9,187,Omen,1,7,0,0,1,1,0.04,0.71,06/02/2026,1.08,,,,Win,,
Haven,splash,24,17,23,6,230,Phoenix,4,3,0,7,11,0.36,0.17,0.71,06/02/2026,0.96,,,,Loss,,
Haven,Chaos,24,15,22,5,191,Jett,3,1,0,5,8,0.38,0.13,0.63,06/02/2026,0.83,,,,Loss,,
Haven,Erv,24,10,22,11,153,Omen,1,1,0,3,4,0.25,0.04,0.42,06/02/2026,0.88,,,,Loss,,
Haven,scales,24,10,22,2,128,Cypher,0,0,0,2,2,0,0,0.42,06/02/2026,0.5,,,,Loss,,
Haven,slowly,24,8,21,5,133,Sova,0,1,0,2,2,0,0,0.33,06/02/2026,0.54,,,,Loss,,
Lotus,slowly,24,21,18,7,252,Fade,0,5,0,1,1,0,0,0.88,06/02/2026,1.17,,,,Loss,,
Lotus,Erv,24,14,17,10,182,Omen,2,0,0,3,5,0.4,0.08,0.58,06/02/2026,1,,,,Loss,,
Lotus,Chaos,24,14,17,5,169,Waylay,2,3,0,5,7,0.29,0.08,0.58,06/02/2026,0.79,,,,Loss,,
Lotus,scales,24,14,19,1,167,Cypher,1,0,0,2,3,0.33,0.04,0.58,06/02/2026,0.63,,,,Loss,,
Lotus,splash,24,12,22,4,157,Raze,3,1,0,5,8,0.38,0.13,0.5,06/02/2026,0.67,,,,Loss,,
Pearl,scales,24,18,21,4,229,Cypher,3,1,1,3,6,0.5,0.13,0.75,06/02/2026,0.92,,,,Loss,,
Pearl,Chaos,24,15,21,5,183,Jett,3,0,0,6,9,0.33,0.13,0.63,06/02/2026,0.83,,,,Loss,,
Pearl,splash,24,14,22,4,174,Phoenix,3,0,0,5,8,0.38,0.13,0.58,06/02/2026,0.75,,,,Loss,,
Pearl,Erv,24,14,20,6,171,Astra,2,3,0,3,5,0.4,0.08,0.58,06/02/2026,0.83,,,,Loss,,
Pearl,slowly,24,9,22,6,116,Fade,1,5,0,2,3,0.33,0.04,0.38,06/02/2026,0.63,,,,Loss,,
Haven,slowly,24,22,12,4,275,Sova,3,5,0,1,4,0.75,0.13,0.92,06/02/2026,1.08,,,,Win,,
Haven,Erv,24,19,16,18,230,Omen,3,2,1,1,4,0.75,0.13,0.79,06/02/2026,1.54,,,,Win,,
Haven,splash,24,17,16,11,223,Phoenix,1,1,1,3,4,0.25,0.04,0.71,06/02/2026,1.17,,,,Win,,
Haven,scales,24,19,12,5,199,Cypher,5,1,0,1,6,0.83,0.21,0.79,06/02/2026,1,,,,Win,,
Haven,Chaos,24,17,15,5,192,Jett,3,0,0,5,8,0.38,0.13,0.71,06/02/2026,0.92,,,,Win,,
Lotus,slowly,24,23,16,3,252,Omen,2,2,1,1,3,0.67,0.08,0.96,06/03/2026,1.08,,,,Loss,,
Lotus,Chaos,24,20,15,6,250,Raze,1,1,0,4,5,0.2,0.04,0.83,06/03/2026,1.08,,,,Loss,,
Lotus,splash,24,16,18,3,189,Waylay,6,0,0,4,10,0.6,0.25,0.67,06/03/2026,0.79,,,,Loss,,
Lotus,scales,24,13,14,1,163,Cypher,2,0,0,1,3,0.67,0.08,0.54,06/03/2026,0.58,,,,Loss,,
Lotus,SiufatBB,24,8,16,5,102,Fade,0,1,0,1,1,0,0,0.33,06/03/2026,0.54,,,,Loss,,
Haven,slowly,24,17,18,12,217,Omen,2,0,0,0,2,1,0.08,0.71,06/03/2026,1.21,,,,Loss,,
Haven,splash,24,18,17,6,211,Phoenix,2,1,0,4,6,0.33,0.08,0.75,06/03/2026,1,,,,Loss,,
Haven,SiufatBB,24,16,17,10,208,Sova,4,3,1,2,6,0.67,0.17,0.67,06/03/2026,1.08,,,,Loss,,
Haven,Chaos,24,15,15,2,174,Jett,3,0,2,5,8,0.38,0.13,0.63,06/03/2026,0.71,,,,Loss,,
Haven,scales,24,13,20,1,149,Cypher,4,1,0,3,7,0.57,0.17,0.54,06/03/2026,0.58,,,,Loss,,
Pearl,slowly,24,27,15,9,300,Astra,1,2,0,0,1,1,0.04,1.13,06/03/2026,1.5,,,,Win,,
Pearl,splash,24,21,18,14,279,Phoenix,3,1,0,2,5,0.6,0.13,0.88,06/03/2026,1.46,,,,Win,,
Pearl,Chaos,24,19,19,9,249,Jett,4,0,0,3,7,0.57,0.17,0.79,06/03/2026,1.17,,,,Win,,
Pearl,SiufatBB,24,18,15,12,190,Fade,1,5,1,1,2,0.5,0.04,0.75,06/03/2026,1.25,,,,Win,,
Pearl,scales,24,10,17,4,131,Cypher,2,1,1,3,5,0.4,0.08,0.42,06/03/2026,0.58,,,,Win,,
